TradingDay,TMT,一带一路,交通运输,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,电力,电子,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-11-20,-0.0010772528950404895,,,,,,0.2024856661910845,-0.005938736960656708,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,-0.003785845365022877,,,,,,0.005110274376631781,1.2159565357240347,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,0.2002626959770462,,,,,,0.08457823744752332,-0.8657915196527942,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,-0.0482935465454572,,,,,,0.10692563237114287,0.13612736609869763,,,,,,,,,,,,,,,,,,,,,,
2015-12-18,0.036517411294761284,,,,,,0.025276321408709033,-0.04287044941821636,,,,,,,,,,,,,,,,,,,,,,
2015-12-25,-0.08907850469081197,,,,,,0.25209219876551286,-0.36837318892970666,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-0.0010050408551668965,,,,,,0.006841134563987831,-0.7575127427348294,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,0.07853479136278411,,,,,,0.0021371767465109986,-0.00590018445414988,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,-0.000656332320655589,,,,,,0.6770319920726854,-0.6428752853184025,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,0.1595949884594436,,,,,,0.009188228067378158,-0.8766528955652075,,,,,,,,,,,,,,,,,,-0.27510954090577133,,,,0.009254056334977683
2016-01-29,-0.038715188014990305,,,,,,0.3123757120194185,0.5476610652176789,,,,,,,,,,,,,,,,,,0.23658416450371766,,,,0.08257686721888624
2016-02-05,-0.03864199134697363,,,,,,0.0825619967716601,0.4206535371481117,,,,,,,,,,,,,,,,,,0.048363111043948595,,,,-0.21139733836799152
2016-02-19,1.0957140301712083,,,,,,0.011718906515022453,0.058232389808959464,,,,,,,,,,,,,,,,,,0.006276673002119216,,,,0.005765030789367189
2016-02-26,0.10911687964630427,,,,,,-0.01510090814241727,1.1652944773534624,,,,,,,,,,,,,,,,,,0.23542028709466442,,,,0.031231612222855806
2016-03-04,0.045108796937673654,,,,,,0.0074371052156157885,0.050675424949282705,,,,,,,,,,,,,,,,,,0.11514264824221287,,,,0.004657088111811835
2016-03-11,-0.04919143614875232,,,,,,0.03928685105531707,1.0176189154845818,,,,,,,,,,,,,,,,,,0.15695348087155583,,,,0.09875100524607437
2016-03-18,0.5029043544646845,,,,,,0.2346625480835494,0.3884874788500907,,,,,,,,,,,,,,,,,,0.45024338108883366,,,,0.0008269531949428759
2016-03-25,0.013905639174134767,,,,,,0.04654845728326982,-0.04545579953363556,,,,,,,,,,,,,,,,,,0.7875398964390167,,,,0.05324303764339793
2016-04-01,0.022023581967333675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1149804155509328
2016-04-08,0.19314256504158378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1899216321692373
2016-04-15,0.022492168990629353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11031178606253812
2016-04-22,0.0650431770558143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37512712742915844
