TradingDay,TMT,一带一路,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,电力,电子,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-10-09,-0.04819480588026703,,,,,0.11501328815595496,-0.09272039611434957,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,0.0016432585929396838,,,,,-0.27959844713910365,-0.041407635081601384,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,0.0015036341631721605,,,,,0.01227171190487825,-0.4789273177426524,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,0.21016600457947726,,,,,-0.028224111928301134,-0.08427463400846916,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,0.01798489302061255,,,,,0.09851259439957981,2.4120037014988447,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,0.021931872979188145,,,,,0.021575115023070787,-0.08073974800020076,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,0.008827889043694635,,,,,0.24805140173505422,-0.929352191766779,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,0.08810763284842774,,,,,0.012991058037523068,2.460547766480644,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,-0.08201910368429788,,,,,0.11302635724225547,0.004931191717803571,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,0.1949364271608694,,,,,0.005401845043986182,0.19103434735627278,,,,,,,,,,,,,,,,,,,,,,
2015-12-18,0.021710471908015783,,,,,0.012387537813739288,-0.47349827627173424,,,,,,,,,,,,,,,,,,,,,,
2015-12-25,0.1295463152755516,,,,,0.24734559292260416,-3.163973958058086,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,0.013454387243795593,,,,,0.010668353478944428,0.029906739118422683,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,0.002404300266706034,,,,,0.2098367803337592,0.0006834159762784341,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,0.2385990041817369,,,,,0.03953351800944588,-2.494349944802252,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,-0.0012031088905514328,,,,,0.035547747426119464,0.05231012383244023,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,-0.036514354030118566,,,,,0.2664755146526139,0.0044353008638171165,,,,,,,,,,,,,,,,,,,,,,
2016-02-05,-0.8734519305330636,,,,,0.007231460801538467,0.26227857146402755,,,,,,,,,,,,,,,,,,0.300945538158929,,,,0.020299889055909404
2016-02-19,0.0129431123385719,,,,,0.08727263552070423,1.5023001351824519,,,,,,,,,,,,,,,,,,1.0025385400840485,,,,-0.026932338815623205
2016-02-26,0.03990205085133025,,,,,0.027711435020844354,-0.7028683740002948,,,,,,,,,,,,,,,,,,0.017576873200284157,,,,0.00017804811591260911
2016-03-04,-0.0027398873371075397,,,,,0.33019855050246666,1.4504079886324706,,,,,,,,,,,,,,,,,,0.0008164579870184399,,,,0.009621611959030756
2016-03-11,0.006639385400588744,,,,,-0.09227097190683066,0.02388124370090105,,,,,,,,,,,,,,,,,,-0.29213845535248195,,,,0.000971705579310897
2016-03-18,0.13196842139724918,,,,,0.026718481527370712,-0.6936810411451366,,,,,,,,,,,,,,,,,,0.4687976168037683,,,,0.016090671253267658
2016-03-25,0.27731876338376055,,,,,0.22937244144246996,-0.6025579577396706,,,,,,,,,,,,,,,,,,0.02223171626117373,,,,0.00044926369421092007
2016-04-01,-0.03140848695689756,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05884125654445117
2016-04-08,0.0957246929373659,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001246908803849728
2016-04-15,0.041080464095854585,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08974157439982652
2016-04-22,0.28264773866643234,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07545750959359729
2016-04-29,0.09349559712727046,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05393753193649221
2016-05-06,0.02490489106465338,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10299534209693698
2016-05-13,-0.04538990139713628,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020639472736704283
2016-05-20,0.02308950882425398,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012999171402373869
